w1,w2,w3,s1,s2,eq_check
1,2,1,signed,unsigned,True
1,2,1,unsigned,unsigned,True
2,2,1,signed,unsigned,True
2,2,1,unsigned,unsigned,True
3,2,1,signed,unsigned,True
3,2,1,unsigned,unsigned,True
4,2,1,signed,unsigned,True
4,2,1,unsigned,unsigned,True
5,2,1,signed,unsigned,True
5,2,1,unsigned,unsigned,True
6,2,1,signed,unsigned,True
6,2,1,unsigned,unsigned,True
7,2,1,signed,unsigned,True
7,2,1,unsigned,unsigned,True
8,2,1,signed,unsigned,True
8,2,1,unsigned,unsigned,True
1,2,2,signed,unsigned,True
1,2,2,unsigned,unsigned,True
2,2,2,signed,unsigned,True
2,2,2,unsigned,unsigned,True
3,2,2,signed,unsigned,True
3,2,2,unsigned,unsigned,True
4,2,2,signed,unsigned,True
4,2,2,unsigned,unsigned,True
5,2,2,signed,unsigned,True
5,2,2,unsigned,unsigned,True
6,2,2,signed,unsigned,True
6,2,2,unsigned,unsigned,True
7,2,2,signed,unsigned,True
7,2,2,unsigned,unsigned,True
8,2,2,signed,unsigned,True
8,2,2,unsigned,unsigned,True
1,2,3,signed,unsigned,False
1,2,3,unsigned,unsigned,True
2,2,3,signed,unsigned,True
2,2,3,unsigned,unsigned,True
3,2,3,signed,unsigned,True
3,2,3,unsigned,unsigned,True
4,2,3,signed,unsigned,True
4,2,3,unsigned,unsigned,True
5,2,3,signed,unsigned,True
5,2,3,unsigned,unsigned,True
6,2,3,signed,unsigned,True
6,2,3,unsigned,unsigned,True
7,2,3,signed,unsigned,True
7,2,3,unsigned,unsigned,True
8,2,3,signed,unsigned,True
8,2,3,unsigned,unsigned,True
1,2,4,signed,unsigned,False
1,2,4,unsigned,unsigned,True
2,2,4,signed,unsigned,False
2,2,4,unsigned,unsigned,True
3,2,4,signed,unsigned,True
3,2,4,unsigned,unsigned,True
4,2,4,signed,unsigned,True
4,2,4,unsigned,unsigned,True
5,2,4,signed,unsigned,True
5,2,4,unsigned,unsigned,True
6,2,4,signed,unsigned,True
6,2,4,unsigned,unsigned,True
7,2,4,signed,unsigned,True
7,2,4,unsigned,unsigned,True
8,2,4,signed,unsigned,True
8,2,4,unsigned,unsigned,True
1,2,5,signed,unsigned,False
1,2,5,unsigned,unsigned,True
2,2,5,signed,unsigned,False
2,2,5,unsigned,unsigned,True
3,2,5,signed,unsigned,False
3,2,5,unsigned,unsigned,True
4,2,5,signed,unsigned,True
4,2,5,unsigned,unsigned,True
5,2,5,signed,unsigned,True
5,2,5,unsigned,unsigned,True
6,2,5,signed,unsigned,True
6,2,5,unsigned,unsigned,True
7,2,5,signed,unsigned,True
7,2,5,unsigned,unsigned,True
8,2,5,signed,unsigned,True
8,2,5,unsigned,unsigned,True
1,2,6,signed,unsigned,False
1,2,6,unsigned,unsigned,True
2,2,6,signed,unsigned,False
2,2,6,unsigned,unsigned,True
3,2,6,signed,unsigned,False
3,2,6,unsigned,unsigned,True
4,2,6,signed,unsigned,False
4,2,6,unsigned,unsigned,True
5,2,6,signed,unsigned,True
5,2,6,unsigned,unsigned,True
6,2,6,signed,unsigned,True
6,2,6,unsigned,unsigned,True
7,2,6,signed,unsigned,True
7,2,6,unsigned,unsigned,True
8,2,6,signed,unsigned,True
8,2,6,unsigned,unsigned,True
1,2,7,signed,unsigned,False
1,2,7,unsigned,unsigned,True
2,2,7,signed,unsigned,False
2,2,7,unsigned,unsigned,True
3,2,7,signed,unsigned,False
3,2,7,unsigned,unsigned,True
